"","FRP No.","FRP","infection_cpcr-d0","maturity","CW","SC","CH","holdtank","TREATMENT","lowtag","hightag","treattank","where","tube9","tube12","tube26"
"93","2017-6193",6193,1,"I","130.5","3","19","8A","A",3662,3866,8,"drain end","174","333","482"
"94","2017-6194",6194,0,"M","130.6","3","27.6","2C","C",3663,3862,2,"drain end","98","235","432"
"95","2017-6195",6195,1,"I","126.3","3","20.6","9A","A",3664,3854,9,"drain end","150","304","501"
"96","2017-6196",6196,1,"I","140.4","3","20","1C","C",3666,3867,1,"drain end","170","203","408"
"97","2017-6197",6197,0,"M","133.9","3","30.3","3C","C",3667,3864,3,"drain end","161","244","449"
"98","2017-6198",6198,1,"I","129.6","3","18.5","2C","C",3668,3870,2,"drain end","154","230","428"
"99","2017-6199",6199,1,"I","134.1","3","20.6","3C","C",3670,3871,3,"drain end","151","254","445"
"100","2017-6200",6200,3,"M","130.8","3","28.1","1C","C",3675,3872,1,"valve end","94","208","416"
"101","2017-6201",6201,1,"I","134.2","3","20","7A","A",3678,3881,7,"drain end","163","341","478"
"102","2017-6202",6202,1,"I","141.8","3","22.5","8A","A",3679,3893,8,"drain end","109","337","495"
"103","2017-6203",6203,0,"M","133.3","4","28.8","2C","C",3687,3892,2,"drain end","113","222","425"
"104","2017-6204",6204,3,"M","133","3","30","3C","C",3701,3709,3,"drain end","114","252","448"
"105","2017-6205",6205,0,"I","130","3","22","7A","A",3703,3728,7,"drain end","121","342","475"
"106","2017-6206",6206,1,"I","131.6","3","19.9","9A","A",3706,3900,9,"drain end","103","319","509"
"107","2017-6207",6207,1,"I","119.3","3","19","1C","C",3707,3913,1,"drain end","128","202","412"
"108","2017-6208",6208,1,"I","126.2","3","19.1","2C","C",3710,3723,2,"drain end","106","229","435"
"109","2017-6209",6209,1,"I","126.8","3","20","3C","C",3714,3716,3,"drain end","125","251","444"
"110","2017-6210",6210,1,"I","127.7","3","19","4W","W",3718,3914,4,"anywhere","120","274","401"
"111","2017-6211",6211,1,"I","128.8","3","19","7A","A",3724,3890,7,"drain end","118","349","481"
"112","2017-6212",6212,1,"I","145","3","21.1","8A","A",3725,3912,8,"drain end","132","334","485"
"113","2017-6213",6213,0,"I","124.3","3","21.6","9A","A",3904,3906,9,"drain end","108","310","506"
"114","2017-6214",6214,1,"I","129.1","3","18.9","9A","A",3905,3920,9,"drain end","107","311","504"
"115","2017-6215",6215,1,"I",".",".",".","3C","C",3423,3516,3,"drain end","23","253","457"
"116","2017-6216",6216,0,"I","113","4","20.1","4W","W",3015,3344,4,"anywhere","40","267","."
"117","2017-6217",6217,0,"I","123.1","3","20","5W","W",3022,3164,5,"anywhere","129","285","."
"118","2017-6218",6218,3,"I","118.3","3","17.9","6W","W",3038,3289,6,"drain end","93","373","."
"119","2017-6219",6219,1,"I","125.1","3","18.7","4W","W",3043,3135,4,"anywhere","116","276","."
"120","2017-6220",6220,1,"I","82","3","6.7","5W","W",3047,3278,5,"anywhere","162","293","."
"121","2017-6221",6221,1,"I","113.2","3","15.7","6W","W",3051,3535,6,"anywhere","16","380","."
"122","2017-6222",6222,0,"M","117.6","4","26.6","4W","W",3057,3445,4,"anywhere","1","266","."
"123","2017-6223",6223,0,"M","113.7","3","22.1","4W","W",3080,3511,4,"anywhere","44","270","."
"124","2017-6224",6224,1,"I","122","3","17.1","4W","W",3083,3429,4,"drain end","74","277","."
"125","2017-6225",6225,1,"I","118.2","3","15.2","5W","W",3084,3377,5,"drain end","92","298","."
"126","2017-6226",6226,0,"I","124.8","3","18.8","4W","W",3085,3233,4,"drain end","85","260","."
"127","2017-6227",6227,1,"I","116.7","3","17","6W","W",3086,3155,6,"drain end","83","366","."
"128","2017-6228",6228,0,"I","127.7","4","19.4","5W","W",3087,3462,5,"anywhere","29","290","."
"129","2017-6229",6229,0,"I","109.4","3","13.9","6W","W",3090,3496,6,"drain end","89","379","."
"130","2017-6230",6230,0,"M","114.5","4","24.1","5W","W",3118,3474,5,"anywhere","22","292","."
"131","2017-6231",6231,1,"I","133.6","3","22.6","4W","W",3122,3163,4,"anywhere","102","278","."
"132","2017-6232",6232,0,"M","119.4","3","23","5W","W",3144,3319,5,"anywhere","52","286","."
"133","2017-6233",6233,1,"I","108","3","16.1","6W","W",3148,3256,6,"anywhere","117","371","."
"134","2017-6234",6234,0,"I","127.4","4","18.2","4W","W",3177,3283,4,"anywhere","2","263","."
"135","2017-6235",6235,0,"I","110.3","4","18.7","5W","W",3188,3223,5,"anywhere","35","297","."
"136","2017-6236",6236,0,"I","118.7","3","19","6W","W",3195,3350,6,"anywhere","157","361","."
"137","2017-6237",6237,1,"I","115.3","3","15.7","4W","W",3202,3549,4,"anywhere","17","271","."
"138","2017-6238",6238,0,"M","118.6","4","24.3","6W","W",3205,3243,6,"anywhere","9","375","."
"139","2017-6239",6239,1,"I","87.3","3","12.1","5W","W",3212,3562,5,"anywhere","166","291","."
"140","2017-6240",6240,1,"I","125.2","3","20.1","6W","W",3213,3218,6,"anywhere","134","362","."
"141","2017-6241",6241,1,"I","114.1","3","16.6","8A","A",3226,3489,8,"drain end","62","323","."
"142","2017-6242",6242,0,"M","111.9","4","20.9","6W","W",3269,3360,6,"anywhere","39","377","."
"143","2017-6243",6243,1,"I","95.7","4","12.7","4W","W",3271,3290,4,"anywhere","173","272","."
"144","2017-6244",6244,1,"I","119.3","3","19","5W","W",3272,3393,5,"anywhere","58","284","."
"145","2017-6245",6245,1,"I","122.6","3","18.4","6W","W",3280,3368,6,"anywhere","126","365","."
"146","2017-6246",6246,0,"I","116","3","18.1","4W","W",3299,3383,4,"anywhere","3","265","."
"147","2017-6247",6247,0,"I","118.4","3","19.4","5W","W",3315,3500,5,"anywhere","152","287","."
"148","2017-6248",6248,0,"I","111.6","4","19.8","6W","W",3316,3435,6,"anywhere","49","378","."
"149","2017-6249",6249,1,"I","102.1","3","14.3","4W","W",3353,3446,4,"anywhere","96","279","."
"150","2017-6250",6250,1,"I","111.8","3","15","5W","W",3373,3406,5,"anywhere","72","294","."
"151","2017-6251",6251,1,"I","97.6","3","13.2","6W","W",3375,3478,6,"anywhere","167","376","."
"152","2017-6252",6252,3,"M","99.1","3","19.3","8A","A",3492,3731,8,"drain end","99","330","."
"153","2017-6253",6253,0,"I","86.9","3","9.9","4W","W",3566,3571,4,"anywhere","25","275","."
