FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube_no,Avg_startq_day01,Avg_startq_day26,infection_status,temperature_treatment,RNAday9,RNAday12,RNAday26
2017-6181,6181,0,I,133.4,3,20.4,7A,A,3616,3846,7,drain end,355,0.8,125,0,ambient,1.64,3.32,5.28
2017-6181,6181,0,I,133.4,3,20.4,7A,A,3616,3846,7,drain end,470,0.8,125,0,ambient,1.64,3.32,5.28
2017-6184,6184,1,I,121.9,3,17.3,2C,C,3628,3809,9,drain end,148,275,200,1,ambient,5.08,2.84,1.44
2017-6184,6184,1,I,121.9,3,17.3,9A,A,3628,3809,9,drain end,318,275,200,1,ambient,5.08,2.84,1.44
2017-6184,6184,1,I,121.9,3,17.3,9A,A,3628,3809,9,drain end,513,275,200,1,ambient,5.08,2.84,1.44
2017-6185,6185,0,I,124.8,3,21.8,2C,C,3630,3824,8,drain end,145,7,180,0,ambient,4.4,2.62,3.51
2017-6185,6185,0,I,124.8,3,21.8,8A,A,3630,3824,8,drain end,336,7,180,0,ambient,4.4,2.62,3.51
2017-6185,6185,0,I,124.8,3,21.8,8A,A,3630,3824,8,drain end,487,7,180,0,ambient,4.4,2.62,3.51
2017-6186,6186,0,I,129.4,3,20.8,1C,C,3638,3843,9,drain end,171,0.3,135,0,ambient,3.41,3.03,1.62
2017-6186,6186,0,I,129.4,3,20.8,9A,A,3638,3843,9,drain end,306,0.3,135,0,ambient,3.41,3.03,1.62
2017-6186,6186,0,I,129.4,3,20.8,9A,A,3638,3843,9,drain end,510,0.3,135,0,ambient,3.41,3.03,1.62
2017-6192,6192,1,I,132.2,3,21.7,1C,C,3658,3860,7,drain end,178,300,2e3,1,ambient,26,5.68,2.83
2017-6192,6192,1,I,132.2,3,21.7,7A,A,3658,3860,7,drain end,359,300,2e3,1,ambient,26,5.68,2.83
2017-6192,6192,1,I,132.2,3,21.7,7A,A,3658,3860,7,drain end,463,300,2e3,1,ambient,26,5.68,2.83
2017-6193,6193,1,I,130.5,3,19,1C,C,3662,3866,8,drain end,174,350,217.5,1,ambient,3.36,6.08,5.12
