"","Sample_pre","Sample","Cq","Cq_Mean","Cq_Std_Dev","Starting_Quantity","Log_Starting_Quantity","SQ_Mean","SQ_Std_Dev","year-FRP","FRP","run","Comments","sampleday"
"611",31,"31-F11","27.32",27.32,0.002,"1.09E+03","3.037",1090,1.81,"2017-6188",6188,"4/24/18 second",NA,"day01"
"612",38,"38-D08","28.24",28.24,0.001,"5.64E+02","2.752",564,0.395,"2017-6170",6170,"4/24/18 second",NA,"day26"
"613",38,"38-D08","28.24",28.24,0.001,"5.64E+02","2.751",564,0.395,"2017-6170",6170,"4/24/18 second",NA,"day26"
"614",31,"31-F01","30.04",31.28,1.755,"1.56E+02","2.192",91,91.5,"2017-6101",6101,"4/24/18 second",NA,"day01"
"615",31,"31-F01","32.52",31.28,1.755,"2.63E+01","1.42",91,91.5,"2017-6101",6101,"4/24/18 second",NA,"day01"
"616",31,"31-F02","35.58",36.58,1.408,"2.94E+00","0.468",1.82,1.58,"2017-6138",6138,"4/24/18 second",NA,"day01"
"617",31,"31-F02","37.57",36.58,1.408,"7.06E-01","-0.151",1.82,1.58,"2017-6138",6138,"4/24/18 second",NA,"day01"
"618",31,"31-E12","26.07",25.42,0.926,"2.67E+03","3.427",4750,2940,"2017-6198",6198,"4/24/18 second",NA,"day01"
"619",31,"31-E12","24.76",25.42,0.926,"6.83E+03","3.834",4750,2940,"2017-6198",6198,"4/24/18 second",NA,"day01"
"620",31,"31-C02","33.04",32.47,0.802,"1.81E+01","1.259",29.5,16.1,"2017-6111",6111,"4/24/18 second",NA,"day01"
"621",31,"31-C02","31.9",32.47,0.802,"4.09E+01","1.612",29.5,16.1,"2017-6111",6111,"4/24/18 second",NA,"day01"
"622",31,"31-C11","36.59",37.12,0.743,"1.42E+00","0.153",1.05,0.533,"2017-6229",6229,"4/24/18 second",NA,"day01"
"623",31,"31-C11","37.64",37.12,0.743,"6.71E-01","-0.174",1.05,0.533,"2017-6229",6229,"4/24/18 second",NA,"day01"
"624",31,"31-D01","29.62",29.21,0.577,"2.10E+02","2.322",293,118,"2017-6164",6164,"4/24/18 second",NA,"day01"
"625",31,"31-D01","28.81",29.21,0.577,"3.77E+02","2.576",293,118,"2017-6164",6164,"4/24/18 second",NA,"day01"
"626",37,"37-A04","32.28",32.67,0.543,"3.12E+01","1.494",24.6,9.32,"2017-6203",6203,"4/24/18 second",NA,"day26"
"627",37,"37-A04","33.05",32.67,0.543,"1.80E+01","1.255",24.6,9.32,"2017-6203",6203,"4/24/18 second",NA,"day26"
"628",37,"37-D02","30.41",30.77,0.503,"1.19E+02","2.076",95.3,33.6,"2017-6207",6207,"4/24/18 second",NA,"day26"
"629",37,"37-D02","31.12",30.77,0.503,"7.15E+01","1.854",95.3,33.6,"2017-6207",6207,"4/24/18 second",NA,"day26"
"630",38,"38-A04","29.46",29.61,0.219,"4.36E+02","2.64",393,61,"2017-6193",6193,"4/24/18 first",NA,"day26"
"631",38,"38-A04","29.77",29.61,0.219,"3.50E+02","2.544",393,61,"2017-6193",6193,"4/24/18 first",NA,"day26"
"632",38,"38-A05","31.27",31.41,0.204,"1.21E+02","2.081",109,15.8,"2017-6176",6176,"4/24/18 first",NA,"day26"
"633",38,"38-A05","31.56",31.41,0.204,"9.81E+01","1.992",109,15.8,"2017-6176",6176,"4/24/18 first",NA,"day26"
"634",38,"38-A06","30.89",30.97,0.111,"1.58E+02","2.197",149,11.8,"2017-6127",6127,"4/24/18 first",NA,"day26"
"635",38,"38-A06","31.05",30.97,0.111,"1.41E+02","2.149",149,11.8,"2017-6127",6127,"4/24/18 first",NA,"day26"
"636",38,"38-A07","30.31",30.35,0.051,"2.39E+02","2.378",233,8.46,"2017-6145",6145,"4/24/18 first",NA,"day26"
"637",38,"38-A07","30.38",30.35,0.051,"2.27E+02","2.355",233,8.46,"2017-6145",6145,"4/24/18 first",NA,"day26"
"638",38,"38-B03","28",28.06,0.094,"1.23E+03","3.091",1180,78.9,"2017-6155",6155,"4/24/18 first",NA,"day26"
"639",38,"38-B03","28.13",28.06,0.094,"1.12E+03","3.05",1180,78.9,"2017-6155",6155,"4/24/18 first",NA,"day26"
"640",38,"38-B04","29.03",29.14,0.155,"5.90E+02","2.771",548,60.1,"2017-6158",6158,"4/24/18 first",NA,"day26"
"641",38,"38-B04","29.25",29.14,0.155,"5.05E+02","2.704",548,60.1,"2017-6158",6158,"4/24/18 first",NA,"day26"
"642",38,"38-B05","30.39",30.43,0.055,"2.26E+02","2.353",220,8.65,"2017-6136",6136,"4/24/18 first",NA,"day26"
"643",38,"38-B05","30.47",30.43,0.055,"2.13E+02","2.329",220,8.65,"2017-6136",6136,"4/24/18 first",NA,"day26"
"644",38,"38-B06","30.87",30.88,0.018,"1.61E+02","2.206",159,2.08,"2017-6130",6130,"4/24/18 first",NA,"day26"
"645",38,"38-B06","30.89",30.88,0.018,"1.58E+02","2.198",159,2.08,"2017-6130",6130,"4/24/18 first",NA,"day26"
"646",38,"38-B07","30.84",30.98,0.198,"1.63E+02","2.213",148,20.8,"2017-6213",6213,"4/24/18 first",NA,"day26"
"647",38,"38-B07","31.12",30.98,0.198,"1.34E+02","2.126",148,20.8,"2017-6213",6213,"4/24/18 first",NA,"day26"
"648",38,"38-C03","27.88",27.91,0.054,"1.35E+03","3.129",1310,50.6,"2017-6144",6144,"4/24/18 first",NA,"day26"
"649",38,"38-C03","27.95",27.91,0.054,"1.27E+03","3.105",1310,50.6,"2017-6144",6144,"4/24/18 first",NA,"day26"
"650",38,"38-C04","30.9",30.99,0.135,"1.57E+02","2.196",147,14.1,"2017-6114",6114,"4/24/18 first",NA,"day26"
"651",38,"38-C04","31.09",30.99,0.135,"1.37E+02","2.137",147,14.1,"2017-6114",6114,"4/24/18 first",NA,"day26"
"652",38,"38-C05","30.32",30.36,0.058,"2.36E+02","2.374",230,9.44,"2017-6135",6135,"4/24/18 first",NA,"day26"
"653",38,"38-C05","30.4",30.36,0.058,"2.23E+02","2.348",230,9.44,"2017-6135",6135,"4/24/18 first",NA,"day26"
"654",38,"38-C06","29.22",29.23,0.02,"5.18E+02","2.714",513,7.33,"2017-6112",6112,"4/24/18 first",NA,"day26"
"655",38,"38-C06","29.25",29.23,0.02,"5.07E+02","2.705",513,7.33,"2017-6112",6112,"4/24/18 first",NA,"day26"
"656",38,"38-C07","30.26",30.28,0.026,"2.47E+02","2.393",244,4.53,"2017-6131",6131,"4/24/18 first",NA,"day26"
"657",38,"38-C07","30.29",30.28,0.026,"2.41E+02","2.382",244,4.53,"2017-6131",6131,"4/24/18 first",NA,"day26"
"658",38,"38-D04","21.46",21.56,0.147,"1.29E+05","5.11",120000,12500,"2017-6212",6212,"4/24/18 first",NA,"day26"
"659",38,"38-D04","21.66",21.56,0.147,"1.11E+05","5.046",120000,12500,"2017-6212",6212,"4/24/18 first",NA,"day26"
"660",38,"38-D05","31.21",31.25,0.061,"1.26E+02","2.101",122,5.26,"2017-6139",6139,"4/24/18 first",NA,"day26"
"661",38,"38-D05","31.29",31.25,0.061,"1.19E+02","2.074",122,5.26,"2017-6139",6139,"4/24/18 first",NA,"day26"
"662",38,"38-D06","28.53",28.68,0.216,"8.45E+02","2.927",762,117,"2017-6137",6137,"4/24/18 first",NA,"day26"
"663",38,"38-D06","28.84",28.68,0.216,"6.80E+02","2.832",762,117,"2017-6137",6137,"4/24/18 first",NA,"day26"
"664",38,"38-D07","29.31",29.41,0.141,"4.87E+02","2.687",455,45.4,"2017-6159",6159,"4/24/18 first",NA,"day26"
"665",38,"38-D07","29.5",29.41,0.141,"4.23E+02","2.626",455,45.4,"2017-6159",6159,"4/24/18 first",NA,"day26"
"666",38,"38-E03","29.31",29.44,0.184,"4.86E+02","2.686",445,58,"2017-6201",6201,"4/24/18 first",NA,"day26"
"667",38,"38-E03","29.57",29.44,0.184,"4.04E+02","2.606",445,58,"2017-6201",6201,"4/24/18 first",NA,"day26"
"668",38,"38-E04","28.85",28.91,0.085,"6.71E+02","2.827",643,38.9,"2017-6169",6169,"4/24/18 first",NA,"day26"
"669",38,"38-E04","28.98",28.91,0.085,"6.16E+02","2.789",643,38.9,"2017-6169",6169,"4/24/18 first",NA,"day26"
"670",38,"38-E05","29.91",29.93,0.023,"3.17E+02","2.501",313,5.16,"2017-6183",6183,"4/24/18 first",NA,"day26"
"671",38,"38-E05","29.94",29.93,0.023,"3.10E+02","2.491",313,5.16,"2017-6183",6183,"4/24/18 first",NA,"day26"
"672",38,"38-E06","30.77",30.82,0.073,"1.72E+02","2.235",166,8.64,"2017-6195",6195,"4/24/18 first",NA,"day26"
"673",38,"38-E06","30.87",30.82,0.073,"1.60E+02","2.203",166,8.64,"2017-6195",6195,"4/24/18 first",NA,"day26"
"674",38,"38-E07","29.08",29.15,0.105,"5.73E+02","2.758",544,40.5,"2017-6206",6206,"4/24/18 first",NA,"day26"
"675",38,"38-E07","29.23",29.15,0.105,"5.15E+02","2.712",544,40.5,"2017-6206",6206,"4/24/18 first",NA,"day26"
"676",38,"38-F03","30.49",30.54,0.075,"2.10E+02","2.322",203,10.8,"2017-6143",6143,"4/24/18 first",NA,"day26"
"677",38,"38-F03","30.59",30.54,0.075,"1.95E+02","2.29",203,10.8,"2017-6143",6143,"4/24/18 first",NA,"day26"
"678",38,"38-F04","29.71",29.88,0.238,"3.65E+02","2.562",326,54.8,"2017-6185",6185,"4/24/18 first",NA,"day26"
"679",38,"38-F04","30.05",29.88,0.238,"2.87E+02","2.458",326,54.8,"2017-6185",6185,"4/24/18 first",NA,"day26"
"680",38,"38-F05","29.94",30.06,0.169,"3.10E+02","2.491",285,34.1,"2017-6202",6202,"4/24/18 first",NA,"day26"
"681",38,"38-F05","30.18",30.06,0.169,"2.61E+02","2.417",285,34.1,"2017-6202",6202,"4/24/18 first",NA,"day26"
"682",38,"38-F06","28.67",28.67,0.004,"7.65E+02","2.883",763,2.3,"2017-6146",6146,"4/24/18 first",NA,"day26"
"683",38,"38-F06","28.68",28.67,0.004,"7.61E+02","2.882",763,2.3,"2017-6146",6146,"4/24/18 first",NA,"day26"
"684",38,"38-F07","30.15",30.23,0.112,"2.67E+02","2.427",253,20.1,"2017-6186",6186,"4/24/18 first",NA,"day26"
"685",38,"38-F07","30.31",30.23,0.112,"2.39E+02","2.378",253,20.1,"2017-6186",6186,"4/24/18 first",NA,"day26"
"686",38,"38-G03","29.74",29.88,0.193,"3.57E+02","2.553",326,44.5,"2017-6109",6109,"4/24/18 first",NA,"day26"
"687",38,"38-G03","30.01",29.88,0.193,"2.94E+02","2.469",326,44.5,"2017-6109",6109,"4/24/18 first",NA,"day26"
"688",38,"38-G04","30.69",30.73,0.062,"1.82E+02","2.26",177,7.76,"2017-6110",6110,"4/24/18 first",NA,"day26"
"689",38,"38-G04","30.78",30.73,0.062,"1.71E+02","2.233",177,7.76,"2017-6110",6110,"4/24/18 first",NA,"day26"
"690",38,"38-G06","30.1",30.1,0.01,"2.77E+02","2.443",276,1.93,"2017-6125",6125,"4/24/18 first",NA,"day26"
"691",38,"38-G06","30.11",30.1,0.01,"2.75E+02","2.439",276,1.93,"2017-6125",6125,"4/24/18 first",NA,"day26"
"692",38,"38-G07","32.09",32.16,0.108,"6.74E+01","1.829",64,4.91,"2017-6150",6150,"4/24/18 first",NA,"day26"
"693",38,"38-G07","32.24",32.16,0.108,"6.05E+01","1.782",64,4.91,"2017-6150",6150,"4/24/18 first",NA,"day26"
"694",38,"38-H03","29.36",29.39,0.037,"4.68E+02","2.67",459,12.2,"2017-6211",6211,"4/24/18 first",NA,"day26"
"695",38,"38-H03","29.41",29.39,0.037,"4.51E+02","2.654",459,12.2,"2017-6211",6211,"4/24/18 first",NA,"day26"
"696",38,"38-H04","28.41",28.5,0.135,"9.21E+02","2.964",862,82.6,"2017-6122",6122,"4/24/18 first",NA,"day26"
"697",38,"38-H04","28.6",28.5,0.135,"8.04E+02","2.905",862,82.6,"2017-6122",6122,"4/24/18 first",NA,"day26"
"698",38,"38-H05","30.19",30.23,0.062,"2.60E+02","2.415",252,11.1,"2017-6166",6166,"4/24/18 first",NA,"day26"
"699",38,"38-H05","30.28",30.23,0.062,"2.44E+02","2.387",252,11.1,"2017-6166",6166,"4/24/18 first",NA,"day26"
"700",38,"38-H06","26.02",26.05,0.036,"5.03E+03","3.701",4940,127,"2017-6214",6214,"4/24/18 first",NA,"day26"
"701",38,"38-H06","26.07",26.05,0.036,"4.85E+03","3.686",4940,127,"2017-6214",6214,"4/24/18 first",NA,"day26"
"702",38,"38-H07","30.54",30.57,0.039,"2.02E+02","2.306",198,5.43,"2017-6161",6161,"4/24/18 first",NA,"day26"
"703",38,"38-H07","30.6",30.57,0.039,"1.95E+02","2.289",198,5.43,"2017-6161",6161,"4/24/18 first",NA,"day26"
"704",38,"38-A03","29.31",29.68,0.528,"4.86E+02","2.686",386,142,"2017-6205",6205,"4/24/18 first",NA,"day26"
"705",38,"38-A03","30.06",29.68,0.528,"2.86E+02","2.456",386,142,"2017-6205",6205,"4/24/18 first",NA,"day26"
"706",38,"38-A05","31.64",31.65,0.004,"7.20E+00","0.857",7.18,0.0233,"2017-6176",6176,"3/29/18 third","messed up curve; reran","day26"
"707",38,"38-A05","31.65",31.65,0.004,"7.16E+00","0.855",7.18,0.0233,"2017-6176",6176,"3/29/18 third","messed up curve; reran","day26"
"708",38,"38-F07","30.62",30.61,0.008,"1.73E+01","1.238",17.4,0.113,"2017-6186",6186,"3/29/18 third","messed up curve; reran","day26"
"709",38,"38-F07","30.61",30.61,0.008,"1.75E+01","1.242",17.4,0.113,"2017-6186",6186,"3/29/18 third","messed up curve; reran","day26"
"710",38,"38-G06","30.19",30.21,0.024,"2.49E+01","1.396",24.5,0.504,"2017-6125",6125,"3/29/18 third","messed up curve; reran","day26"
"711",38,"38-G06","30.23",30.21,0.024,"2.42E+01","1.384",24.5,0.504,"2017-6125",6125,"3/29/18 third","messed up curve; reran","day26"
"712",38,"38-H04","28.46",28.44,0.027,"1.10E+02","2.043",112,2.63,"2017-6122",6122,"3/29/18 third","messed up curve; reran","day26"
"713",38,"38-H04","28.42",28.44,0.027,"1.14E+02","2.057",112,2.63,"2017-6122",6122,"3/29/18 third","messed up curve; reran","day26"
"714",38,"38-G07","31.91",31.89,0.031,"5.72E+00","0.757",5.83,0.156,"2017-6150",6150,"3/29/18 third","messed up curve; reran","day26"
"715",38,"38-G07","31.87",31.89,0.031,"5.94E+00","0.774",5.83,0.156,"2017-6150",6150,"3/29/18 third","messed up curve; reran","day26"
"716",38,"38-A03","29.95",29.98,0.034,"3.06E+01","1.486",30,0.864,"2017-6205",6205,"3/29/18 third","messed up curve; reran","day26"
"717",38,"38-A03","30",29.98,0.034,"2.94E+01","1.468",30,0.864,"2017-6205",6205,"3/29/18 third","messed up curve; reran","day26"
"718",38,"38-F05","31.1",31.08,0.034,"1.15E+01","1.059",11.7,0.344,"2017-6202",6202,"3/29/18 third","messed up curve; reran","day26"
"719",38,"38-F05","31.05",31.08,0.034,"1.20E+01","1.078",11.7,0.344,"2017-6202",6202,"3/29/18 third","messed up curve; reran","day26"
"720",38,"38-A06","30.84",30.87,0.041,"1.43E+01","1.156",14,0.487,"2017-6127",6127,"3/29/18 third","messed up curve; reran","day26"
"721",38,"38-A06","30.9",30.87,0.041,"1.36E+01","1.134",14,0.487,"2017-6127",6127,"3/29/18 third","messed up curve; reran","day26"
"722",38,"38-B05","31.06",31.1,0.064,"1.19E+01","1.076",11.5,0.628,"2017-6136",6136,"3/29/18 third","messed up curve; reran","day26"
"723",38,"38-B05","31.15",31.1,0.064,"1.10E+01","1.042",11.5,0.628,"2017-6136",6136,"3/29/18 third","messed up curve; reran","day26"
"724",38,"38-F04","31.02",30.98,0.067,"1.23E+01","1.088",12.8,0.732,"2017-6185",6185,"3/29/18 third","messed up curve; reran","day26"
"725",38,"38-F04","30.93",30.98,0.067,"1.33E+01","1.123",12.8,0.732,"2017-6185",6185,"3/29/18 third","messed up curve; reran","day26"
"726",38,"38-E07","28.57",28.64,0.095,"9.98E+01","1.999",94.3,7.69,"2017-6206",6206,"3/29/18 third","messed up curve; reran","day26"
"727",38,"38-E07","28.71",28.64,0.095,"8.89E+01","1.949",94.3,7.69,"2017-6206",6206,"3/29/18 third","messed up curve; reran","day26"
"728",38,"38-C05","30.3",30.38,0.11,"2.27E+01","1.356",21.3,1.99,"2017-6135",6135,"3/29/18 third","messed up curve; reran","day26"
"729",38,"38-C05","30.46",30.38,0.11,"1.99E+01","1.298",21.3,1.99,"2017-6135",6135,"3/29/18 third","messed up curve; reran","day26"
"730",38,"38-D07","29.64",29.56,0.121,"4.00E+01","1.602",43.1,4.47,"2017-6159",6159,"3/29/18 third","messed up curve; reran","day26"
"731",38,"38-D07","29.47",29.56,0.121,"4.63E+01","1.665",43.1,4.47,"2017-6159",6159,"3/29/18 third","messed up curve; reran","day26"
"732",38,"38-B04","29.24",29.33,0.122,"5.62E+01","1.75",52.4,5.46,"2017-6158",6158,"3/29/18 third","messed up curve; reran","day26"
"733",38,"38-B04","29.42",29.33,0.122,"4.85E+01","1.686",52.4,5.46,"2017-6158",6158,"3/29/18 third","messed up curve; reran","day26"
"734",38,"38-H05","30.29",30.37,0.124,"2.31E+01","1.363",21.4,2.28,"2017-6166",6166,"3/29/18 third","messed up curve; reran","day26"
"735",38,"38-H05","30.46",30.37,0.124,"1.98E+01","1.297",21.4,2.28,"2017-6166",6166,"3/29/18 third","messed up curve; reran","day26"
"736",38,"38-D05","31.98",32.07,0.126,"5.39E+00","0.731",5,0.541,"2017-6139",6139,"3/29/18 third","messed up curve; reran","day26"
"737",38,"38-D05","32.16",32.07,0.126,"4.62E+00","0.665",5,0.541,"2017-6139",6139,"3/29/18 third","messed up curve; reran","day26"
"738",38,"38-B03","28.26",28.34,0.127,"1.31E+02","2.118",122,13.2,"2017-6155",6155,"3/29/18 third","messed up curve; reran","day26"
"739",38,"38-B03","28.43",28.34,0.127,"1.13E+02","2.051",122,13.2,"2017-6155",6155,"3/29/18 third","messed up curve; reran","day26"
"740",38,"38-E05","30.29",30.19,0.136,"2.30E+01","1.362",25.1,2.92,"2017-6183",6183,"3/29/18 third","messed up curve; reran","day26"
"741",38,"38-E05","30.09",30.19,0.136,"2.71E+01","1.433",25.1,2.92,"2017-6183",6183,"3/29/18 third","messed up curve; reran","day26"
"742",38,"38-F06","29.08",29.18,0.139,"6.47E+01","1.811",59.7,7.07,"2017-6146",6146,"3/29/18 third","messed up curve; reran","day26"
"743",38,"38-F06","29.28",29.18,0.139,"5.47E+01","1.738",59.7,7.07,"2017-6146",6146,"3/29/18 third","messed up curve; reran","day26"
"744",38,"38-H06","25.68",25.78,0.139,"1.19E+03","3.075",1100,130,"2017-6214",6214,"3/29/18 third","messed up curve; reran","day26"
"745",38,"38-H06","25.88",25.78,0.139,"1.00E+03","3.002",1100,130,"2017-6214",6214,"3/29/18 third","messed up curve; reran","day26"
"746",38,"38-E06","31.05",31.16,0.151,"1.19E+01","1.076",10.9,1.41,"2017-6195",6195,"3/29/18 third","messed up curve; reran","day26"
"747",38,"38-E06","31.27",31.16,0.151,"9.93E+00","0.997",10.9,1.41,"2017-6195",6195,"3/29/18 third","messed up curve; reran","day26"
"748",38,"38-B07","30.39",30.5,0.155,"2.10E+01","1.323",19.2,2.55,"2017-6213",6213,"3/29/18 third","messed up curve; reran","day26"
"749",38,"38-B07","30.61",30.5,0.155,"1.74E+01","1.241",19.2,2.55,"2017-6213",6213,"3/29/18 third","messed up curve; reran","day26"
"750",38,"38-E03","29.5",29.38,0.165,"4.51E+01","1.654",50.1,7.07,"2017-6201",6201,"3/29/18 third","messed up curve; reran","day26"
"751",38,"38-E03","29.27",29.38,0.165,"5.51E+01","1.741",50.1,7.07,"2017-6201",6201,"3/29/18 third","messed up curve; reran","day26"
"752",38,"38-A07","30.02",30.16,0.189,"2.88E+01","1.46",25.9,4.17,"2017-6145",6145,"3/29/18 third","messed up curve; reran","day26"
"753",38,"38-A07","30.29",30.16,0.189,"2.29E+01","1.361",25.9,4.17,"2017-6145",6145,"3/29/18 third","messed up curve; reran","day26"
"754",38,"38-E04","28.88",29.02,0.203,"7.70E+01","1.887",68.7,11.9,"2017-6169",6169,"3/29/18 third","messed up curve; reran","day26"
"755",38,"38-E04","29.16",29.02,0.203,"6.03E+01","1.78",68.7,11.9,"2017-6169",6169,"3/29/18 third","messed up curve; reran","day26"
"756",38,"38-D06","29.25",29.09,0.22,"5.61E+01","1.749",64.7,12.1,"2017-6137",6137,"3/29/18 third","messed up curve; reran","day26"
"757",38,"38-D06","28.94",29.09,0.22,"7.33E+01","1.865",64.7,12.1,"2017-6137",6137,"3/29/18 third","messed up curve; reran","day26"
"758",38,"38-F03","31.02",30.83,0.275,"1.23E+01","1.088",14.7,3.42,"2017-6143",6143,"3/29/18 third","messed up curve; reran","day26"
"759",38,"38-F03","30.63",30.83,0.275,"1.71E+01","1.233",14.7,3.42,"2017-6143",6143,"3/29/18 third","messed up curve; reran","day26"
"760",38,"38-G03","29.55",29.74,0.279,"4.34E+01","1.637",37.2,8.81,"2017-6109",6109,"3/29/18 third","messed up curve; reran","day26"
"761",38,"38-G03","29.94",29.74,0.279,"3.09E+01","1.49",37.2,8.81,"2017-6109",6109,"3/29/18 third","messed up curve; reran","day26"
"762",38,"38-C03","27.76",27.98,0.31,"2.00E+02","2.301",169,44.3,"2017-6144",6144,"3/29/18 third","messed up curve; reran","day26"
"763",38,"38-C03","28.2",27.98,0.31,"1.37E+02","2.138",169,44.3,"2017-6144",6144,"3/29/18 third","messed up curve; reran","day26"
"764",38,"38-C06","28.92",29.15,0.328,"7.45E+01","1.872",62.3,17.3,"2017-6112",6112,"3/29/18 third","messed up curve; reran","day26"
"765",38,"38-C06","29.38",29.15,0.328,"5.01E+01","1.7",62.3,17.3,"2017-6112",6112,"3/29/18 third","messed up curve; reran","day26"
"766",38,"38-G04","31.16",30.92,0.338,"1.09E+01","1.038",13.7,3.91,"2017-6110",6110,"3/29/18 third","messed up curve; reran","day26"
"767",38,"38-G04","30.68",30.92,0.338,"1.65E+01","1.216",13.7,3.91,"2017-6110",6110,"3/29/18 third","messed up curve; reran","day26"
"768",38,"38-D04","22.08",22.34,0.377,"2.61E+04","4.417",21300,6780,"2017-6212",6212,"3/29/18 third","messed up curve; reran","day26"
"769",38,"38-D04","22.61",22.34,0.377,"1.66E+04","4.219",21300,6780,"2017-6212",6212,"3/29/18 third","messed up curve; reran","day26"
"770",38,"38-B06","31.02",30.74,0.396,"1.23E+01","1.089",16,5.34,"2017-6130",6130,"3/29/18 third","messed up curve; reran","day26"
"771",38,"38-B06","30.46",30.74,0.396,"1.98E+01","1.297",16,5.34,"2017-6130",6130,"3/29/18 third","messed up curve; reran","day26"
"772",38,"38-A04","30.1",29.82,0.397,"2.70E+01","1.431",35.3,11.8,"2017-6193",6193,"3/29/18 third","messed up curve; reran","day26"
"773",38,"38-A04","29.54",29.82,0.397,"4.36E+01","1.64",35.3,11.8,"2017-6193",6193,"3/29/18 third","messed up curve; reran","day26"
"774",38,"38-C04","31.09",30.8,0.412,"1.15E+01","1.062",15.3,5.28,"2017-6114",6114,"3/29/18 third","messed up curve; reran","day26"
"775",38,"38-C04","30.51",30.8,0.412,"1.90E+01","1.279",15.3,5.28,"2017-6114",6114,"3/29/18 third","messed up curve; reran","day26"
"776",38,"38-H03","30.24",29.92,0.456,"2.40E+01","1.38",32.8,12.5,"2017-6211",6211,"3/29/18 third","messed up curve; reran","day26"
"777",38,"38-H03","29.6",29.92,0.456,"4.16E+01","1.619",32.8,12.5,"2017-6211",6211,"3/29/18 third","messed up curve; reran","day26"
"778",38,"38-C07","30.14",27.13,4.26,"2.60E+01","1.415",2280,3190,"2017-6131",6131,"3/29/18 third","messed up curve; reran","day26"
"779",38,"38-C07","24.12",27.13,4.26,"4.54E+03","3.657",2280,3190,"2017-6131",6131,"3/29/18 third","messed up curve; reran","day26"
"780",38,"38-H07","5.92",18,17.077,"2.67E+10","10.427",1.34e+10,1.89e+10,"2017-6161",6161,"3/29/18 third","messed up curve; reran","day26"
"781",38,"38-H07","30.07",18,17.077,"2.76E+01","1.441",1.34e+10,1.89e+10,"2017-6161",6161,"3/29/18 third","messed up curve; reran","day26"
"782",37,"37-C03","32.76",32.75,0.008,"2.48E+01","1.395",24.9,0.142,"2017-6113",6113,"3/29/18 second",NA,"day26"
