FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6144	6144	1	I	128	3	17	8A	A	3225	3507	7	drain end	14
2017-6144	6144	1	I	128	3	17	7A	A	3225	3507	7	drain end	348
2017-6144	6144	1	I	128	3	17	7A	A	3225	3507	7	drain end	477
2017-6145	6145	1	I	112.3	3	15.3	7A	A	3232	3323	9	drain end	59
2017-6145	6145	1	I	112.3	3	15.3	9A	A	3232	3323	9	drain end	305
2017-6145	6145	1	I	112.3	3	15.3	9A	A	3232	3323	9	drain end	505
2017-6146	6146	0	I	106.1	4	19	8A	A	3237	3399	9	drain end	12
2017-6146	6146	0	I	106.1	4	19	9A	A	3237	3399	9	drain end	309
2017-6146	6146	0	I	106.1	4	19	9A	A	3237	3399	9	drain end	502
2017-6147	6147	0	I	119.5	4	18.3	8A	A	3241	3309	1	drain end	30
2017-6147	6147	0	I	119.5	4	18.3	1C	C	3241	3309	1	drain end	204
2017-6147	6147	0	I	119.5	4	18.3	1C	C	3241	3309	1	drain end	421
2017-6148	6148	1	I	116.1	3	17	7A	A	3251	3422	1	drain end	56
2017-6148	6148	1	I	116.1	3	17	1C	C	3251	3422	1	drain end	213
2017-6148	6148	1	I	116.1	3	17	1C	C	3251	3422	1	drain end	405
2017-6149	6149	1	I	115.4	3	16.3	7A	A	3253	3578	2	drain end	64
2017-6149	6149	1	I	115.4	3	16.3	2C	C	3253	3578	2	drain end	226
2017-6149	6149	1	I	115.4	3	16.3	2C	C	3253	3578	2	drain end	437
2017-6150	6150	0	M	130	3	27.8	3C	C	3257	3261	9	drain end	119
2017-6150	6150	0	M	130	3	27.8	9A	A	3257	3261	9	drain end	312
2017-6150	6150	0	M	130	3	27.8	9A	A	3257	3261	9	drain end	511
2017-6151	6151	1	I	115.7	3	15.6	8A	A	3265	3574	3	drain end	19
2017-6151	6151	1	I	115.7	3	15.6	3C	C	3265	3574	3	drain end	243
2017-6151	6151	1	I	115.7	3	15.6	3C	C	3265	3574	3	drain end	454
2017-6152	6152	0	M	113	3	22.5	9A	A	3270	3275	7	drain end	32
2017-6152	6152	0	M	113	3	22.5	7A	A	3270	3275	7	drain end	344
2017-6152	6152	0	M	113	3	22.5	7A	A	3270	3275	7	drain end	467
2017-6153	6153	0	M	113.5	4	22.1	8A	A	3281	3308	1	drain end	11
2017-6153	6153	0	M	113.5	4	22.1	1C	C	3281	3308	1	drain end	209
2017-6153	6153	0	M	113.5	4	22.1	1C	C	3281	3308	1	drain end	404
2017-6154	6154	0	I	124.3	3	19.3	7A	A	3284	3570	2	drain end	68
2017-6154	6154	0	I	124.3	3	19.3	2C	C	3284	3570	2	drain end	232
2017-6154	6154	0	I	124.3	3	19.3	2C	C	3284	3570	2	drain end	436
2017-6155	6155	1	I	93.1	3	13.6	7A	A	3286	3371	7	drain end	66
2017-6155	6155	1	I	93.1	3	13.6	7A	A	3286	3371	7	drain end	358
2017-6155	6155	1	I	93.1	3	13.6	7A	A	3286	3371	7	drain end	476
2017-6156	6156	0	I	120	3	17.1	8A	A	3293	3370	3	drain end	24
2017-6156	6156	0	I	120	3	17.1	3C	C	3293	3370	3	drain end	242
2017-6156	6156	0	I	120	3	17.1	3C	C	3293	3370	3	drain end	446
2017-6157	6157	0	M	122.6	4	25.3	1C	C	3306	3354	2	drain end	169
2017-6157	6157	0	M	122.6	4	25.3	2C	C	3306	3354	2	drain end	224
2017-6157	6157	0	M	122.6	4	25.3	2C	C	3306	3354	2	drain end	423
2017-6158	6158	1	I	124.5	3	18.9	3C	C	3310	3488	8	drain end	101
2017-6158	6158	1	I	124.5	3	18.9	8A	A	3310	3488	8	drain end	324
2017-6158	6158	1	I	124.5	3	18.9	8A	A	3310	3488	8	drain end	483
2017-6159	6159	1	I	117	3	16.4	8A	A	3311	3551	9	drain end	26
2017-6159	6159	1	I	117	3	16.4	9A	A	3311	3551	9	drain end	313
2017-6159	6159	1	I	117	3	16.4	9A	A	3311	3551	9	drain end	508
2017-6160	6160	0	M	108.5	4	22	8A	A	3317	3545	2	drain end	7
2017-6160	6160	0	M	108.5	4	22	2C	C	3317	3545	2	drain end	238
2017-6160	6160	0	M	108.5	4	22	2C	C	3317	3545	2	drain end	426
2017-6161	6161	0	M	114.1	4	22.3	7A	A	3326	3536	9	drain end	53
2017-6161	6161	0	M	114.1	4	22.3	9A	A	3326	3536	9	drain end	302
2017-6161	6161	0	M	114.1	4	22.3	9A	A	3326	3536	9	drain end	512
2017-6162	6162	1	I	119	3	17	7A	A	3328	3510	1	drain end	61
2017-6162	6162	1	I	119	3	17	1C	C	3328	3510	1	drain end	220
2017-6162	6162	1	I	119	3	17	1C	C	3328	3510	1	drain end	407
2017-6163	6163	1	I	118.5	3	17.1	3C	C	3330	3409	2	drain end	130
2017-6163	6163	1	I	118.5	3	17.1	2C	C	3330	3409	2	drain end	228
2017-6163	6163	1	I	118.5	3	17.1	2C	C	3330	3409	2	drain end	424
2017-6164	6164	1	I	86.8	3	10.8	7A	A	3351	3390	3	drain end	71
2017-6164	6164	1	I	86.8	3	10.8	3C	C	3351	3580	3	drain end	257
2017-6164	6164	1	I	86.8	3	10.8	3C	C	3351	3580	3	drain end	460
2017-6165	6165	0	I	113.2	3	19.5	7A	A	3362	3539	7	drain end	55
2017-6165	6165	0	I	113.2	3	19.5	7A	A	3362	3539	7	drain end	360
2017-6165	6165	0	I	113.2	3	19.5	7A	A	3362	3539	7	drain end	469
2017-6166	6166	0	I	91.8	3	11.3	8A	A	3378	3534	8	drain end	21
2017-6166	6166	0	I	91.8	3	11.3	8A	A	3378	3534	8	drain end	349
2017-6166	6166	0	I	91.8	3	11.3	8A	A	3378	3534	8	drain end	496
